chnm,Classification,casn,code,CmaxStand,NAS,testname,EC,testtarget,tgt_abbr
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.510361959,BSK_CASM3C_HLADR_down_Row497,13.55595458,HLA-DR,HLA-DR
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.311659379,BSK_CASM3C_HLADR_down_Row497,16.18161565,HLA-DR,HLA-DR
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.984090565,BSK_CASM3C_IL6_down_Row499,3.977358875,IL6,IL6
ifosfamide,LessDILIDrugs,3778-73-2,C3778732,203,0.99467396,BSK_CASM3C_IL6_down_Row499,1.081186072,IL6,IL6
prednisone,LessDILIDrugs,53-03-2,C53032,0.0684,-3.587943304,BSK_CASM3C_IL6_down_Row499,0.313815322,IL6,IL6
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.903305208,BSK_CASM3C_IL6_down_Row499,0.438568899,IL6,IL6
indomethacin,MostDILI Drugs,53-86-1,C53861,5.5899,0.876239267,BSK_CASM3C_IL6_down_Row499,0.691810124,IL6,IL6
prednisone,LessDILIDrugs,53-03-2,C53032,0.0684,-3.593596974,BSK_CASM3C_IL8_down_Row500,0.314202033,IL8,IL8
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.020369243,BSK_CASM3C_IL8_down_Row500,21.70999391,IL8,IL8
chlorambucil,LessDILIDrugs,305-03-3,C305033,1.5614,-3.694265617,BSK_CASM3C_LDLR_down_Row501,7.329626334,LDL receptor,LDLR
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.969453929,BSK_CASM3C_LDLR_down_Row501,7.636517637,LDL receptor,LDLR
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.091435077,BSK_CASM3C_LDLR_up_Row302,12.67983011,LDL receptor,LDLR
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,0.616747273,BSK_CASM3C_LDLR_up_Row302,2.682769091,LDL receptor,LDLR
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,-0.40104469,BSK_CASM3C_MCP1_down_Row295,6.354578294,chemotactic factor,CCL2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.374476265,BSK_CASM3C_MCSF_down_Row502,23.62217183,colony stimulating factor,CSF1
nilutamide,MostDILI Drugs,63612-50-0,C63612500,7.2504,-0.916274052,BSK_CASM3C_MCSF_down_Row502,13.89375339,colony stimulating factor,CSF1
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.969443122,BSK_CASM3C_MCSF_up_Row325,7.639219445,colony stimulating factor,CSF1
prednisone,LessDILIDrugs,53-03-2,C53032,0.0684,0.85380117,BSK_CASM3C_MCSF_up_Row325,0.01,colony stimulating factor,CSF1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.099263893,BSK_CASM3C_MIG_down_Row503,16.73602502,chemokine ligand 9,CXCL9
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.367165951,BSK_CASM3C_Proliferation_down_Row26,0.010315195,proliferation,prlfrn
chlorambucil,LessDILIDrugs,305-03-3,C305033,1.5614,-0.628026818,BSK_CASM3C_Proliferation_down_Row26,2.542001074,proliferation,prlfrn
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,-1.53057967,BSK_CASM3C_Proliferation_down_Row26,11.47769715,proliferation,prlfrn
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-0.81450122,BSK_CASM3C_Proliferation_down_Row26,12.70150854,proliferation,prlfrn
sulfasalazine,MostDILI Drugs,599-79-1,C599791,15.0603,0.130394633,BSK_CASM3C_Proliferation_down_Row26,13.09651771,proliferation,prlfrn
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.153228575,BSK_CASM3C_Proliferation_down_Row26,5.408075063,proliferation,prlfrn
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.884912128,BSK_CASM3C_Proliferation_down_Row26,10.17852549,proliferation,prlfrn
nilutamide,MostDILI Drugs,63612-50-0,C63612500,7.2504,-0.689192195,BSK_CASM3C_Proliferation_down_Row26,12.24731909,proliferation,prlfrn
oxytetracycline,AmbiDILIDrugs,79-57-2,C79572,3.2578,-1.306215248,BSK_CASM3C_Proliferation_up_Row505,7.513188035,proliferation,prlfrn
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.998994459,BSK_CASM3C_Proliferation_up_Row505,0.251385337,proliferation,prlfrn
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.364905267,BSK_CASM3C_SAA_down_Row506,12.77048844,serum amyloid 1,SAA1
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.421950954,BSK_CASM3C_SRB_down_Row308,2.621799254,cytotoxicity,srb
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.994314833,BSK_CASM3C_Thrombomodulin_down_Row509,0.025785642,Thrombomodulin,THBD
celecoxib,LessDILIDrugs,169590-42-5,C169590425,1.8328,0.564656054,BSK_CASM3C_Thrombomodulin_up_Row23,0.797898385,thrombomodulin,THBD
chlorambucil,LessDILIDrugs,305-03-3,C305033,1.5614,-2.791095325,BSK_CASM3C_Thrombomodulin_up_Row23,5.91941624,thrombomodulin,THBD
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.264149537,BSK_CASM3C_Thrombomodulin_up_Row23,13.38823574,Thrombomodulin,THBD
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.92930517,BSK_CASM3C_Thrombomodulin_up_Row23,17.67370741,Thrombomodulin,THBD
lovastatin,LessDILIDrugs,75330-75-5,C75330755,0.0492,0.373873333,BSK_CASM3C_Thrombomodulin_up_Row23,0.030805432,Thrombomodulin,THBD
simvastatin,LessDILIDrugs,79902-63-9,C79902639,0.0824,-1.297044563,BSK_CASM3C_Thrombomodulin_up_Row23,0.189276472,Thrombomodulin,THBD
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.10518036,BSK_CASM3C_Thrombomodulin_up_Row23,4.832026054,thrombomodulin,THBD
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.28288876,BSK_CASM3C_Thrombomodulin_up_Row23,4.579974356,Thrombomodulin,THBD
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.561043124,BSK_CASM3C_TissueFactor_down_Row293,19.22963287,tissue factor,F3
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.508768746,BSK_CASM3C_TissueFactor_down_Row293,2.228028477,tissue factor,F3
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.857926121,BSK_CASM3C_uPAR_down_Row294,35.51846985,urokinase receptor,PLAUR
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-0.116981703,BSK_CASM3C_uPAR_up_Row512,4.581412152,urokinase receptor,PLAUR
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.505286854,BSK_CASM3C_VCAM1_down_Row511,18.92854901,VCAM1,VCAM1
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-3.099297542,BSK_CASM3C_VCAM1_up_Row309,16.8136788,VCAM1,VCAM1
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-1.829333602,BSK_hDFCGF_CollagenIII_down_Row58,11.6047947,CollagenIII,COL3A1
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.98596319,BSK_hDFCGF_CollagenIII_down_Row58,3.509202392,CollagenIII,COL3A1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.202452376,BSK_hDFCGF_CollagenIII_down_Row58,4.306757172,CollagenIII,COL3A1
indomethacin,MostDILI Drugs,53-86-1,C53861,5.5899,-1.373425423,BSK_hDFCGF_CollagenIII_down_Row58,13.26721077,CollagenIII,COL3A1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-0.518923191,BSK_hDFCGF_CollagenIII_down_Row58,10.63246234,CollagenIII,COL3A1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.791828049,BSK_hDFCGF_CollagenIII_down_Row58,11.4438682,CollagenIII,COL3A1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.446828814,BSK_hDFCGF_EGFR_down_Row29,7.812875597,epidermal growth factor,EGF
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,-0.795227791,BSK_hDFCGF_EGFR_down_Row29,8.142435171,epidermal growth factor,EGF
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.045208991,BSK_hDFCGF_EGFR_down_Row29,14.31646294,epidermal growth factor,EGF
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.029190254,BSK_hDFCGF_EGFR_down_Row29,6.200270603,epidermal growth factor,EGF
estrone,AmbiDILIDrugs,53-16-7,C53167,0.0218,-0.548296927,BSK_hDFCGF_EGFR_up_Row531,0.033752873,epidermal growth factor,EGF
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.582807545,BSK_hDFCGF_IL8_down_Row103,2.252839257,IL8,IL8
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.152071311,BSK_hDFCGF_IL8_down_Row103,29.06449918,IL8,IL8
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-2.488033744,BSK_hDFCGF_IL8_down_Row103,22.27702511,IL8,IL8
oxytetracycline,AmbiDILIDrugs,79-57-2,C79572,3.2578,-3.268347514,BSK_hDFCGF_IP10_down_Row33,13.90542253,chemotactic factor,CXCL10
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.386123969,BSK_hDFCGF_IP10_down_Row33,13.88852607,chemotactic factor,CXCL10
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.781089805,BSK_hDFCGF_IP10_down_Row33,1.182115053,chemotactic factor,CXCL10
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.515490406,BSK_hDFCGF_IP10_down_Row33,31.60843284,chemotactic factor,CXCL10
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.169646146,BSK_hDFCGF_IP10_down_Row33,7.470179043,chemotactic factor,CXCL10
oxytetracycline,AmbiDILIDrugs,79-57-2,C79572,3.2578,-2.515943714,BSK_hDFCGF_MCSF_down_Row42,11.45424143,colony stimulating factor,CSF1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.79554152,BSK_hDFCGF_MCSF_down_Row42,1.104075792,colony stimulating factor,CSF1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.727805769,BSK_hDFCGF_MCSF_down_Row42,26.09464038,colony stimulating factor,CSF1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.379503806,BSK_hDFCGF_MCSF_down_Row42,8.810476957,colony stimulating factor,CSF1
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.73821752,BSK_hDFCGF_MCSF_up_Row534,1.187340615,colony stimulating factor,CSF1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.749354265,BSK_hDFCGF_MIG_down_Row61,1.353486969,chemokine ligand 9,CXCL9
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.735917731,BSK_hDFCGF_MIG_down_Row61,33.15142412,chemokine ligand 9,CXCL9
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.85965813,BSK_hDFCGF_MIG_down_Row61,11.87707858,chemokine ligand 9,CXCL9
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-2.197588113,BSK_hDFCGF_MMP1_down_Row96,20.422036,matrix metalloproteinase 1,MMP1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.613237955,BSK_hDFCGF_MMP1_down_Row96,2.088515042,matrix metalloproteinase 1,MMP1
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-3.765847577,BSK_hDFCGF_PAI1_down_Row32,19.54760042,PAI1,SERPINE1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.419336785,BSK_hDFCGF_PAI1_down_Row32,3.135581361,PAI1,SERPINE1
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.626480206,BSK_hDFCGF_PAI1_down_Row32,1.694136377,PAI1,SERPINE1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.760264266,BSK_hDFCGF_PAI1_down_Row32,26.32184986,PAI1,SERPINE1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.059195534,BSK_hDFCGF_PAI1_down_Row32,6.764764119,PAI1,SERPINE1
danazol,MostDILI Drugs,17230-88-5,C17230885,0.1092,-0.880524679,BSK_hDFCGF_PAI1_up_Row537,0.205353295,PAI1,SERPINE1
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-1.048275815,BSK_hDFCGF_Proliferation_down_Row25,0.046495861,proliferation,prlfrn
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-1.840817983,BSK_hDFCGF_Proliferation_down_Row25,11.65189904,proliferation,prlfrn
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,-2.23032548,BSK_hDFCGF_Proliferation_down_Row25,10.62421747,proliferation,prlfrn
tetracycline,LessDILIDrugs,60-54-8,C60548,27.8172,0.336983048,BSK_hDFCGF_Proliferation_down_Row25,18.44327516,proliferation,prlfrn
chlorambucil,LessDILIDrugs,305-03-3,C305033,1.5614,-3.006784578,BSK_hDFCGF_Proliferation_down_Row25,6.25619344,proliferation,prlfrn
indomethacin,MostDILI Drugs,53-86-1,C53861,5.5899,-0.671266595,BSK_hDFCGF_Proliferation_down_Row25,9.342213138,proliferation,prlfrn
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.376339953,BSK_hDFCGF_Proliferation_down_Row25,16.63437967,proliferation,prlfrn
nilutamide,MostDILI Drugs,63612-50-0,C63612500,7.2504,-1.322794756,BSK_hDFCGF_Proliferation_down_Row25,16.8411911,proliferation,prlfrn
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-1.167838977,BSK_hDFCGF_Proliferation_down_Row25,13.00703386,proliferation,prlfrn
tamoxifen,MostDILI Drugs,10540-29-1,C10540291,0.1712,0.911322225,BSK_hDFCGF_Proliferation_down_Row25,0.015181635,proliferation,prlfrn
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.172960154,BSK_hDFCGF_Proliferation_down_Row25,5.282055383,proliferation,prlfrn
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.819247753,BSK_hDFCGF_Proliferation_down_Row25,0.976062135,proliferation,prlfrn
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.281220025,BSK_hDFCGF_SRB_down_Row73,3.881411863,cytotoxicity,srb
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.31949315,BSK_hDFCGF_SRB_down_Row73,16.23645205,cytotoxicity,srb
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.264770796,BSK_hDFCGF_SRB_down_Row73,14.46441164,cytotoxicity,srb
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,-2.43382909,BSK_hDFCGF_TIMP1_down_Row51,15.57447522,TIMP1 metalloproteinase inhibitor,TIMP1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.364271983,BSK_hDFCGF_TIMP1_down_Row51,30.54990388,TIMP1 metalloproteinase inhibitor,TIMP1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.678419447,BSK_hDFCGF_TIMP1_down_Row51,10.71956148,TIMP1 metalloproteinase inhibitor,TIMP1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.715319607,BSK_hDFCGF_TIMP1_down_Row51,1.537274123,TIMP1 metalloproteinase inhibitor ,TIMP1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.808029139,BSK_hDFCGF_VCAM1_down_Row41,1.036642647,VCAM1,VCAM1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.133883113,BSK_hDFCGF_VCAM1_down_Row41,28.93718179,VCAM1,VCAM1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.375203432,BSK_hDFCGF_VCAM1_down_Row41,8.783011756,VCAM1,VCAM1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.144292965,BSK_KF3CT_ICAM1_down_Row53,11.57918201,ICAM1,ICAM1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.692241763,BSK_KF3CT_ICAM1_down_Row53,10.80784047,ICAM1,ICAM1
oxytetracycline,AmbiDILIDrugs,79-57-2,C79572,3.2578,0.186571672,BSK_KF3CT_IL1a_down_Row68,2.649986807,IL1a,IL1a
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.797527685,BSK_KF3CT_IL1a_down_Row68,9.706649499,IL1a,IL1a
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.550762286,BSK_KF3CT_IL1a_down_Row68,2.037562576,IL1a,IL1a
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.099472783,BSK_KF3CT_IL1a_down_Row68,13.40870282,IL1a,IL1a
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.391694003,BSK_KF3CT_IP10_down_Row38,7.515147616,chemokine ligand 10,CXCL10
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.748445747,BSK_KF3CT_IP10_down_Row38,26.23912023,chemotactic factor,CXCL10
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.311399147,BSK_KF3CT_IP10_down_Row38,8.375512935,chemotactic factor,CXCL10
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.284363219,BSK_KF3CT_MCP1_down_Row52,2.35365781,chemotactic factor,CCL2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.520646003,BSK_KF3CT_MCP1_down_Row52,8.211488416,chemotactic factor,CCL2
griseofulvin,MostDILI Drugs,126-07-8,C126078,4.5356,0.963089711,BSK_KF3CT_MCP1_down_Row52,0.167410309,chemotactic factor,CCL2
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.120832999,BSK_KF3CT_MCP1_down_Row52,21.84583099,chemotactic factor,CCL2
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.684855003,BSK_KF3CT_MCP1_down_Row52,10.76066345,chemotactic factor,CCL2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.45372836,BSK_KF3CT_SRB_down_Row50,7.850133142,cytotoxicity,srb
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.673380494,BSK_KF3CT_SRB_down_Row50,10.6873792,cytotoxicity,srb
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-0.90163309,BSK_KF3CT_TGFb1_down_Row87,13.31143163,transforming growth factor beta,TGFB1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.499937101,BSK_KF3CT_TGFb1_down_Row87,8.099660344,transforming growth factor beta,TGFB1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.728572811,BSK_KF3CT_TGFb1_down_Row87,17.42657597,transforming growth factor beta,TGFB1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.580826366,BSK_KF3CT_TIMP2_down_Row70,25.06578456,TIMP2 metalloproteinase inhibitor,TIMP2
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.138150132,BSK_KF3CT_TIMP2_down_Row70,13.65572345,TIMP2 metalloproteinase inhibitor,TIMP2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.711322391,BSK_KF3CT_TIMP2_down_Row70,9.241140911,TIMP2 metalloproteinase inhibitor ,TIMP2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.782115932,BSK_KF3CT_uPA_down_Row45,9.623426031,urokinase,PLAU
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.440433006,BSK_KF3CT_uPA_down_Row45,9.199613482,urokinase,PLAU
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.382094785,BSK_LPS_CD40_down_Row64,0.010071855,CD40,CD40
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.283581788,BSK_LPS_CD40_down_Row64,13.46793906,CD40,CD40
acetaminophen,MostDILI Drugs,103-90-2,C103902,132.3066,0.999917414,BSK_LPS_CD40_down_Row64,0.010926724,CD40,CD40
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.940400191,BSK_LPS_CD40_down_Row64,15.87816103,CD40,CD40
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.480836369,BSK_LPS_CD40_down_Row64,17.36585458,CD40,CD40
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.938222536,BSK_LPS_CD40_down_Row64,12.37884587,CD40,CD40
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.479865558,BSK_LPS_Eselectin_down_Row81,15.83815736,E-selectin,SELE
simvastatin,LessDILIDrugs,79902-63-9,C79902639,0.0824,0.877701869,BSK_LPS_Eselectin_up_Row326,0.010077366,E-selectin,SELE
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.482884357,BSK_LPS_IL1a_down_Row152,13.40757553,IL1a,IL1a
oxytetracycline,AmbiDILIDrugs,79-57-2,C79572,3.2578,0.853549832,BSK_LPS_IL8_down_Row160,0.477105358,IL8,IL8
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.603859583,BSK_LPS_IL8_down_Row160,14.06084175,IL8,IL8
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.081621947,BSK_LPS_IL8_down_Row160,14.57135363,IL8,IL8
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.16768761,BSK_LPS_MCP1_down_Row105,12.9925875,chemotactic factor,CCL2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.455260389,BSK_LPS_MCP1_down_Row105,13.2584061,chemotactic factor,CCL2
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.956830751,BSK_LPS_MCP1_down_Row105,27.69781526,chemotactic factor,CCL2
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-2.638719826,BSK_LPS_MCP1_down_Row105,23.23941191,chemotactic factor,CCL2
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.29534858,BSK_LPS_MCSF_down_Row141,23.06744006,colony stimulating factor,CSF1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.823840546,BSK_LPS_MCSF_down_Row141,15.24873895,colony stimulating factor,CSF1
indomethacin,MostDILI Drugs,53-86-1,C53861,5.5899,0.995744958,BSK_LPS_PGE2_down_Row146,0.023785257,prostaglandin E2,PTGER2
aspirin,LessDILIDrugs,50-78-2,C50782,5.5229,0.42451609,BSK_LPS_PGE2_down_Row146,3.178340086,prostaglandin E2,PTGER2
celecoxib,LessDILIDrugs,169590-42-5,C169590425,1.8328,0.994543867,BSK_LPS_PGE2_down_Row146,0.01,prostaglandin E2,PTGER2
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.99518957,BSK_LPS_PGE2_down_Row146,1.202607507,prostaglandin E2,PTGER2
acetaminophen,MostDILI Drugs,103-90-2,C103902,132.3066,0.866227601,BSK_LPS_PGE2_down_Row146,17.69897131,prostaglandin E2,PTGER2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.680627002,BSK_LPS_PGE2_down_Row146,14.47538581,prostaglandin E2,PTGER2
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.53061245,BSK_LPS_SRB_down_Row123,24.46530723,cytotoxicity,srb
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.398394131,BSK_LPS_SRB_down_Row123,16.78875892,cytotoxicity,srb
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-3.169801011,BSK_LPS_SRB_down_Row123,26.63126812,cytotoxicity,srb
chlorambucil,LessDILIDrugs,305-03-3,C305033,1.5614,-3.906197904,BSK_LPS_TissueFactor_down_Row147,7.660537408,tissue factor,F3
acetaminophen,MostDILI Drugs,103-90-2,C103902,132.3066,0.999924075,BSK_LPS_TissueFactor_down_Row147,0.010045395,tissue factor,F3
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.267206613,BSK_LPS_TissueFactor_down_Row147,23.04291571,tissue factor,F3
oxytetracycline,AmbiDILIDrugs,79-57-2,C79572,3.2578,-2.461374096,BSK_LPS_TissueFactor_up_Row310,11.27646453,tissue factor,F3
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,-1.138968079,BSK_LPS_TissueFactor_up_Row310,7.034852114,tissue factor,F3
simvastatin,LessDILIDrugs,79902-63-9,C79902639,0.0824,0.830330267,BSK_LPS_TissueFactor_up_Row310,0.013980786,tissue factor,F3
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.206490328,BSK_LPS_TNFa_down_Row154,11.91504777,TNFa,TNF
warfarin,LessDILIDrugs,81-81-2,C81812,4.8649,0.819742864,BSK_LPS_TNFa_up_Row521,0.87693294,TNFa,TNF
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.043101413,BSK_LPS_VCAM1_down_Row72,21.83274763,VCAM1,VCAM1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.906653514,BSK_LPS_VCAM1_down_Row72,34.3465746,VCAM1,VCAM1
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-0.804052478,BSK_LPS_VCAM1_down_Row72,10.82431487,VCAM1,VCAM1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.20481735,BSK_LPS_VCAM1_down_Row72,14.08150697,VCAM1,VCAM1
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,-0.037471104,BSK_SAg_CD38_down_Row86,0.016910779,CD38,CD38
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.058714745,BSK_SAg_CD38_down_Row86,12.5456244,CD38,CD38
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.644210402,BSK_SAg_CD38_down_Row86,25.07873617,CD38,CD38
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.066739984,BSK_SAg_CD38_down_Row86,14.46717989,CD38,CD38
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.57297096,BSK_SAg_CD38_down_Row86,16.43279363,CD38,CD38
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.386503067,BSK_SAg_CD40_down_Row57,0.01,CD40,CD40
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.771917362,BSK_SAg_CD40_down_Row57,15.47089625,CD40,CD40
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.231550107,BSK_SAg_CD40_down_Row57,22.62085075,CD40,CD40
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-3.401952482,BSK_SAg_CD40_down_Row57,26.41171489,CD40,CD40
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.781707331,BSK_SAg_CD40_down_Row57,11.37923021,CD40,CD40
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,-1.884277485,BSK_SAg_CD69_down_Row120,0.047013723,CD69,CD69
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-2.133524668,BSK_SAg_CD69_down_Row120,12.85246478,CD69,CD69
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.128516526,BSK_SAg_CD69_down_Row120,16.89398924,CD69,CD69
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.112088719,BSK_SAg_CD69_down_Row120,21.78462103,CD69,CD69
